lvl1;lvl2;lvl3;lvl4;lvl5;count;cluster
U-N;1779;G;C;T;1;Cluster-1
U-N;2606;G;C;T;1;Cluster-1
U-EI;587;G;C;T;1;Cluster-1
U-EI;240;G;C;T;1;Cluster-1
U-IE;1392;G;C;T;1;Cluster-1
U-IE;1149;G;C;T;1;Cluster-1
U-EI;753;G;C;T;1;Cluster-1
U-N;2516;G;C;T;1;Cluster-1
U-N;2937;G;C;T;1;Cluster-1
U-EI;341;G;C;T;1;Cluster-1
U-IE;1024;G;C;T;1;Cluster-1
U-N;2963;G;C;T;1;Cluster-1
U-IE;1364;G;C;T;1;Cluster-1
U-N;2012;G;C;T;1;Cluster-1
U-EI;663;G;C;T;1;Cluster-1
U-EI;300;G;C;T;1;Cluster-1
U-N;2014;G;C;T;1;Cluster-1
U-N;2335;G;C;T;1;Cluster-1
U-N;2732;G;C;T;1;Cluster-1
U-N;2701;G;C;T;1;Cluster-1
U-N;1695;G;C;T;1;Cluster-1
U-N;1577;G;C;T;1;Cluster-1
U-EI;19;G;C;T;1;Cluster-1
U-EI;760;G;C;T;1;Cluster-1
U-IE;1152;G;C;T;1;Cluster-1
U-N;1634;G;C;T;1;Cluster-1
U-IE;1299;G;C;T;1;Cluster-1
U-N;1587;G;C;T;1;Cluster-1
U-N;2896;G;C;T;1;Cluster-1
U-N;1604;G;C;T;1;Cluster-1
U-N;1550;G;C;T;1;Cluster-1
U-N;1551;G;C;T;1;Cluster-1
U-N;2891;G;C;T;1;Cluster-1
U-N;2820;G;C;T;1;Cluster-1
U-N;2489;G;C;T;1;Cluster-1
U-N;1598;G;C;T;1;Cluster-1
U-N;2424;G;C;T;1;Cluster-1
U-IE;1017;G;C;T;1;Cluster-1
U-N;3142;G;C;T;1;Cluster-1
U-N;2706;G;C;T;1;Cluster-1
U-IE;1189;G;C;T;1;Cluster-1
U-IE;1523;G;C;T;1;Cluster-1
U-N;1915;G;C;T;1;Cluster-1
U-IE;839;G;C;T;1;Cluster-1
U-N;3169;G;C;T;1;Cluster-1
U-N;2218;G;C;T;1;Cluster-1
U-IE;900;G;C;T;1;Cluster-1
U-EI;91;G;C;T;1;Cluster-1
