lvl1;lvl2;lvl3;lvl4;lvl5;lvl6;lvl7;count;cluster
U-293;55;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-354;158;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;48;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;46;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;50;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;52;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;71;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-293;54;"Metro_Station|Tuesday|afternoon|(750.0;780.0]";"Metro_Station|Tuesday|afternoon|(780.0;810.0]";;;;1;Cluster-1
U-689;227;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;230;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;222;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;225;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;246;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;224;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;226;"American_Restaurant|Friday|night|(1140.0;1170.0]";"Nightclub|Friday|night|(1230.0;1260.0]";"Nightclub|Friday|night|(1320.0;1350.0]";"Music_Venue|Saturday|dawn|(0;30.0]";"Hotel|Saturday|dawn|(120.0;150.0]";1;Cluster-2
U-689;231;"Nightclub|Saturday|night|(1230.0;1260.0]";"Nightclub|Saturday|night|(1320.0;1350.0]";"Music_Venue|Sunday|dawn|(0;30.0]";"Hotel|Sunday|dawn|(120.0;150.0]";"Hotel|Sunday|morning|(540.0;570.0]";1;Cluster-3
U-689;230;"Nightclub|Saturday|night|(1230.0;1260.0]";"Nightclub|Saturday|night|(1320.0;1350.0]";"Music_Venue|Sunday|dawn|(0;30.0]";"Hotel|Sunday|dawn|(120.0;150.0]";"Hotel|Sunday|morning|(540.0;570.0]";1;Cluster-3
