lvl1;lvl2;lvl3;lvl4;lvl5;lvl6;count;cluster
U-293;48;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-354;156;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;44;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;70;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;53;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-354;161;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;43;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;80;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;47;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;72;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;64;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;77;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;68;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;49;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;81;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;52;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-354;167;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-293;71;Metro_Station|Monday|afternoon;Park|Monday|afternoon;;;1;Cluster-1
U-354;158;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;164;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;156;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;160;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;161;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;159;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;167;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;168;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-354;185;IT_Services|Friday|morning;Metro_Station|Friday|morning;Metro_Station|Friday|morning;;1;Cluster-2
U-293;57;Home_(private)|Tuesday|afternoon;Metro_Station|Tuesday|afternoon;;;1;Cluster-3
U-293;45;Home_(private)|Tuesday|afternoon;Metro_Station|Tuesday|afternoon;;;1;Cluster-3
U-293;48;Home_(private)|Tuesday|afternoon;Metro_Station|Tuesday|afternoon;;;1;Cluster-3
U-293;43;Home_(private)|Tuesday|afternoon;Metro_Station|Tuesday|afternoon;;;1;Cluster-3
U-293;50;Home_(private)|Tuesday|afternoon;Metro_Station|Tuesday|afternoon;;;1;Cluster-3
