lvl1;lvl2;lvl3;lvl4;lvl5;count;cluster
U-834;2479;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-673;1945;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-643;1832;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-65;140;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-527;1519;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-734;2160;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-439;1210;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-355;961;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-754;2280;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-371;1003;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-138;412;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-432;1179;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-201;618;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-34;87;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-154;448;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-99;354;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-722;2110;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-443;1249;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-753;2265;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-891;2627;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-95;313;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-589;1668;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-422;1148;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-440;1226;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-734;2164;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-742;2192;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-1016;2948;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-660;1914;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-902;2699;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-819;2426;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-546;1587;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-372;1022;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-754;2279;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-95;327;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-531;1554;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-943;2799;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
U-439;1198;Home_(private)|Saturday;Home_(private)|Sunday;;1;Cluster-1
