lvl1;lvl2;lvl3;lvl4;lvl5;count;cluster
U-440;691;Home_(private);Metro_Station;;1;Cluster-1
U-754;1332;Home_(private);Metro_Station;;1;Cluster-1
U-750;1306;Home_(private);Metro_Station;;1;Cluster-1
U-928;1594;Home_(private);Metro_Station;;1;Cluster-1
U-885;1504;Home_(private);Metro_Station;;1;Cluster-1
U-928;1595;Home_(private);Metro_Station;;1;Cluster-1
U-440;700;Home_(private);Metro_Station;;1;Cluster-1
U-702;1184;Home_(private);Metro_Station;;1;Cluster-1
U-702;1182;Home_(private);Metro_Station;;1;Cluster-1
U-885;1488;Home_(private);Metro_Station;;1;Cluster-1
U-885;1508;Home_(private);Metro_Station;;1;Cluster-1
U-484;836;Home_(private);Metro_Station;;1;Cluster-1
U-120;224;Home_(private);Metro_Station;;1;Cluster-1
U-293;377;Home_(private);Metro_Station;;1;Cluster-1
U-84;137;Home_(private);Metro_Station;;1;Cluster-1
U-138;246;Home_(private);Metro_Station;;1;Cluster-1
U-928;1579;Home_(private);Metro_Station;;1;Cluster-1
U-120;222;Home_(private);Metro_Station;;1;Cluster-1
U-440;695;Home_(private);Metro_Station;;1;Cluster-1
U-293;376;Home_(private);Metro_Station;;1;Cluster-1
U-596;1030;Home_(private);Metro_Station;;1;Cluster-1
U-484;826;Home_(private);Metro_Station;;1;Cluster-1
U-754;1342;Home_(private);Metro_Station;;1;Cluster-1
U-951;1665;Home_(private);Metro_Station;;1;Cluster-1
U-120;219;Home_(private);Metro_Station;;1;Cluster-1
U-750;1315;Home_(private);Metro_Station;;1;Cluster-1
U-445;728;Home_(private);Metro_Station;;1;Cluster-1
U-702;1195;Home_(private);Metro_Station;;1;Cluster-1
U-293;366;Home_(private);Metro_Station;;1;Cluster-1
U-293;370;Home_(private);Metro_Station;;1;Cluster-1
U-254;331;Home_(private);Metro_Station;;1;Cluster-1
U-293;384;Home_(private);Metro_Station;;1;Cluster-1
U-440;699;Home_(private);Metro_Station;;1;Cluster-1
U-440;698;Home_(private);Metro_Station;;1;Cluster-1
U-527;928;Home_(private);Metro_Station;;1;Cluster-1
U-527;927;Home_(private);Metro_Station;;1;Cluster-1
U-95;180;Home_(private);Metro_Station;;1;Cluster-1
U-885;1489;Home_(private);Metro_Station;;1;Cluster-1
U-484;833;Home_(private);Metro_Station;;1;Cluster-1
U-928;1593;Home_(private);Metro_Station;;1;Cluster-1
U-702;1190;Home_(private);Metro_Station;;1;Cluster-1
U-943;1639;Home_(private);Metro_Station;;1;Cluster-1
U-440;688;Home_(private);Metro_Station;;1;Cluster-1
U-928;1585;Home_(private);Metro_Station;;1;Cluster-1
U-951;1657;Home_(private);Metro_Station;;1;Cluster-1
U-702;1186;Home_(private);Metro_Station;;1;Cluster-1
U-293;399;Home_(private);Metro_Station;;1;Cluster-1
U-928;1581;Home_(private);Metro_Station;;1;Cluster-1
U-293;380;Home_(private);Metro_Station;;1;Cluster-1
U-484;835;Home_(private);Metro_Station;;1;Cluster-1
U-95;178;Home_(private);Metro_Station;;1;Cluster-1
U-293;402;Home_(private);Metro_Station;;1;Cluster-1
U-976;1710;Home_(private);Metro_Station;;1;Cluster-1
U-928;1577;Home_(private);Metro_Station;;1;Cluster-1
U-928;1592;Home_(private);Metro_Station;;1;Cluster-1
U-484;839;Home_(private);Metro_Station;;1;Cluster-1
U-138;252;Home_(private);Metro_Station;;1;Cluster-1
U-484;842;Home_(private);Metro_Station;;1;Cluster-1
U-742;1260;Home_(private);Metro_Station;;1;Cluster-1
U-943;1628;Home_(private);Metro_Station;;1;Cluster-1
U-293;373;Home_(private);Metro_Station;;1;Cluster-1
U-742;1265;Home_(private);Metro_Station;;1;Cluster-1
U-928;1598;Home_(private);Metro_Station;;1;Cluster-1
U-84;134;Home_(private);Metro_Station;;1;Cluster-1
U-293;375;Home_(private);Metro_Station;;1;Cluster-1
U-951;1656;Home_(private);Metro_Station;;1;Cluster-1
U-120;227;Home_(private);Metro_Station;;1;Cluster-1
U-138;245;Home_(private);Metro_Station;;1;Cluster-1
U-951;1668;Home_(private);Metro_Station;;1;Cluster-1
U-885;1485;Home_(private);Metro_Station;;1;Cluster-1
U-293;379;Home_(private);Metro_Station;;1;Cluster-1
U-885;1487;Home_(private);Metro_Station;;1;Cluster-1
U-702;1185;Home_(private);Metro_Station;;1;Cluster-1
U-120;232;Home_(private);Metro_Station;;1;Cluster-1
U-95;190;Home_(private);Metro_Station;;1;Cluster-1
U-138;251;Home_(private);Metro_Station;;1;Cluster-1
U-440;692;Home_(private);Metro_Station;;1;Cluster-1
U-95;176;Home_(private);Metro_Station;;1;Cluster-1
U-440;690;Home_(private);Metro_Station;;1;Cluster-1
U-754;1331;Home_(private);Metro_Station;;1;Cluster-1
U-702;1192;Home_(private);Metro_Station;;1;Cluster-1
U-95;175;Home_(private);Metro_Station;;1;Cluster-1
U-754;1329;Home_(private);Metro_Station;;1;Cluster-1
U-976;1700;Home_(private);Metro_Station;;1;Cluster-1
U-440;696;Home_(private);Metro_Station;;1;Cluster-1
U-951;1659;Home_(private);Metro_Station;;1;Cluster-1
U-750;1304;Home_(private);Metro_Station;;1;Cluster-1
U-754;1327;Home_(private);Metro_Station;;1;Cluster-1
U-484;841;Home_(private);Metro_Station;;1;Cluster-1
U-84;131;Home_(private);Metro_Station;;1;Cluster-1
U-928;1588;Home_(private);Metro_Station;;1;Cluster-1
U-527;926;Home_(private);Metro_Station;;1;Cluster-1
U-951;1662;Home_(private);Metro_Station;;1;Cluster-1
U-928;1578;Home_(private);Metro_Station;;1;Cluster-1
U-445;733;Home_(private);Metro_Station;;1;Cluster-1
U-344;458;Home_(private);Metro_Station;;1;Cluster-1
U-95;186;Home_(private);Metro_Station;;1;Cluster-1
U-702;1193;Home_(private);Metro_Station;;1;Cluster-1
U-951;1664;Home_(private);Metro_Station;;1;Cluster-1
U-254;332;Home_(private);Metro_Station;;1;Cluster-1
U-440;689;Home_(private);Metro_Station;;1;Cluster-1
U-138;240;Home_(private);Metro_Station;;1;Cluster-1
U-344;456;Home_(private);Metro_Station;;1;Cluster-1
U-445;729;Home_(private);Metro_Station;;1;Cluster-1
