num_of_elements;time_minutes;run_simulation;num_of_candidates;dataset
13;0.1272165633333619;0;58;Top 10 users
28;0.7701717033333504;0;112;Top 10 users
43;24.406.811.016.666.300;0;159;Top 10 users
58;7.849.467.076.666.700;0;193;Top 10 users
73;18.790.354.661.666.600;0;207;Top 10 users
88;28.871.709.621.666.700;0;212;Top 10 users
93;31.628.653.039.999.900;0;214;Top 10 users
108;4.350.956.520.666.650;0;216;Top 10 users
123;6.780.503.893.833.350;0;221;Top 10 users
138;8.734.560.069.166.660;0;221;Top 10 users
13;0.1294395400001425;1;58;Top 10 users
28;0.7518715816666373;1;112;Top 10 users
43;23.572.652.333.333.500;1;159;Top 10 users
58;7.235.151.595.000.080;1;193;Top 10 users
73;1.748.567.616.500.000;1;207;Top 10 users
88;26.422.658.156.666.700;1;212;Top 10 users
93;29.837.226.723.333.300;1;214;Top 10 users
108;4.334.159.616.333.340;1;216;Top 10 users
123;6.810.653.329.333.320;1;221;Top 10 users
138;8.722.572.919.000.010;1;221;Top 10 users
13;0.12823096499996608;2;58;Top 10 users
28;0.7505768866666283;2;112;Top 10 users
43;23.703.822.466.666.000;2;159;Top 10 users
58;7.165.319.623.333.190;2;193;Top 10 users
73;17.407.753.348.333.300;2;207;Top 10 users
88;26.046.625.434.999.900;2;212;Top 10 users
93;29.349.984.689.999.800;2;214;Top 10 users
108;4.324.823.034.166.690;2;216;Top 10 users
123;6.803.479.366.500.000;2;221;Top 10 users
138;9.040.598.854.166.670;2;221;Top 10 users
13;0.12881360500008063;3;58;Top 10 users
28;0.7606640700001056;3;112;Top 10 users
43;235.991.880.333.313;3;159;Top 10 users
58;7.077.745.166.666.620;3;193;Top 10 users
73;17.337.988.678.333.400;3;207;Top 10 users
88;26.140.769.889.999.900;3;212;Top 10 users
93;2.953.334.057.000.000;3;214;Top 10 users
108;4.337.400.798.000.010;3;216;Top 10 users
123;7.217.555.176.333.330;3;221;Top 10 users
138;9.700.056.483.166.670;3;221;Top 10 users
13;0.12886616499987819;4;58;Top 10 users
28;0.754172059999837;4;112;Top 10 users
43;24.692.977.383.332.600;4;159;Top 10 users
58;7.215.162.651.666.710;4;193;Top 10 users
73;17.584.313.801.666.500;4;207;Top 10 users
88;2.601.194.512.333.360;4;212;Top 10 users
93;30.112.032.461.666.700;4;214;Top 10 users
108;46.273.587.131.666.800;4;216;Top 10 users
123;7.243.764.799.166.670;4;221;Top 10 users
138;9.468.079.947.999.980;4;221;Top 10 users
13;0.34655637333333306;0;99;Top 81 users
28;3.441.110.333.333.330;0;276;Top 81 users
43;16.942.695.768.333.300;0;394;Top 81 users
58;4.756.800.586.333.330;0;475;Top 81 users
73;11.655.249.867.666.600;0;540;Top 81 users
88;25.780.193.741.000.000;0;614;Top 81 users
93;33.463.019.316.000.000;0;632;Top 81 users
108;5.276.680.121.133.330;0;669;Top 81 users
123;8.867.831.214.833.330;0;710;Top 81 users
138;13.596.818.238.566.600;0;745;Top 81 users
13;0.3935560866666492;1;99;Top 81 users
28;34.360.684.266.663.100;1;276;Top 81 users
43;15.801.753.958.333.000;1;394;Top 81 users
58;4.528.461.170.166.700;1;475;Top 81 users
73;10.972.228.515.666.600;1;540;Top 81 users
88;25.558.775.191.000.000;1;614;Top 81 users
93;31.347.195.697.166.600;1;632;Top 81 users
108;5.416.430.191.600.000;1;669;Top 81 users
123;8.556.830.136.900.000;1;710;Top 81 users
138;13.364.755.755.383.300;1;745;Top 81 users
13;0.38218830833405565;2;99;Top 81 users
28;4.209.215.813.332.890;2;276;Top 81 users
43;16.097.118.948.333.000;2;394;Top 81 users
58;463.507.949.966.656;2;475;Top 81 users
73;11.414.610.527.499.900;2;540;Top 81 users
88;2.715.351.203.850.000;2;614;Top 81 users
93;3.335.958.106.350.000;2;632;Top 81 users
108;5.289.124.904.716.660;2;669;Top 81 users
123;894.102.757.034.999;2;710;Top 81 users
138;13.765.320.914.650.000;2;745;Top 81 users
13;0.39414744499954396;3;99;Top 81 users
28;3.882.952.136.666.660;3;276;Top 81 users
43;1.721.639.895.500.070;3;394;Top 81 users
58;4.821.333.317.666.620;3;475;Top 81 users
73;11.079.992.320.499.900;3;540;Top 81 users
88;2.542.241.302.816.660;3;614;Top 81 users
93;3.121.398.225.983.330;3;632;Top 81 users
108;5.478.764.378.633.310;3;669;Top 81 users
123;8.700.861.517.633.330;3;710;Top 81 users
138;1.360.882.540.499.990;3;745;Top 81 users
13;0.3751105516663908;4;99;Top 81 users
28;3.509.337.560.000.130;4;276;Top 81 users
43;1.608.294.558.666.720;4;394;Top 81 users
58;46.388.961.328.331.300;4;475;Top 81 users
73;11.039.354.126.833.400;4;540;Top 81 users
88;2.568.858.146.616.640;4;614;Top 81 users
93;31.207.174.756.666.600;4;632;Top 81 users
108;5.273.248.799.050.010;4;669;Top 81 users
123;8.711.954.011.150.010;4;710;Top 81 users
138;13.588.089.568.050.000;4;745;Top 81 users
13;0.46202012499949585;0;107;All users
28;5.605.868.529.997.920;0;341;All users
43;33.546.073.759.999.100;0;547;All users
58;12.500.795.064.166.800;0;704;All users
73;32.571.634.841.333.100;0;834;All users
88;6.069.771.506.349.980;0;925;All users
93;7.939.379.800.616.640;0;949;All users
108;13.886.704.861.949.900;0;1034;All users
123;21.286.218.597.800.000;0;1091;All users
138;330.011.063.835;0;1136;All users
13;0.5274030833349873;1;107;All users
28;6.251.249.878.337.450;1;341;All users
43;3.428.713.572.333.020;1;547;All users
58;13.205.558.118.666.500;1;704;All users
73;3.300.877.057.283.300;1;834;All users
88;6.155.595.807.450.000;1;925;All users
93;8.010.891.694.950.010;1;949;All users
108;1.345.289.370.486.660;1;1034;All users
123;2054.01;1;1091;All users
138;3363.91;1;1136;All users
13;0.47;2;107;All users
28;5.95;2;341;All users
43;33.31;2;547;All users
58;123.93;2;704;All users
73;334.39;2;834;All users
88;621.02;2;925;All users
93;775.49;2;949;All users
108;1396.09;2;1034;All users
123;2201.38;2;1091;All users
138;3213.03;2;1136;All users
13;0.46;3;107;All users
28;5.56;3;341;All users
43;31.28;3;547;All users
58;116.75;3;704;All users
73;308.99;3;834;All users
88;623.31;3;925;All users
93;833.14;3;949;All users
58;0.48;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.51;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.51;0;193;Top 10 users
58;0.51;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.48;0;193;Top 10 users
58;0.5;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.51;0;193;Top 10 users
58;0.58;0;193;Top 10 users
58;0.57;0;193;Top 10 users
58;0.57;0;193;Top 10 users
58;0.58;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.5;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.5;0;193;Top 10 users
58;0.53;0;193;Top 10 users
58;0.5;0;193;Top 10 users
58;0.54;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.49;0;193;Top 10 users
58;0.57;0;193;Top 10 users
88;5.64;0;614;Top 81 users
93;13.3;0;949;All users
93;12.86;0;949;All users
93;0.05;0;5;SJGS
93;0.06;0;6;SJGS
93;0.06;0;6;SJGS
93;0.05;0;6;SJGS
93;0.05;0;6;SJGS
93;0.05;0;6;SJGS
93;0.06;0;6;SJGS
93;0.05;0;6;SJGS
93;0.06;0;6;SJGS
93;0.05;0;6;SJGS
93;0.06;0;6;SJGS
93;0.05;0;6;SJGS
93;0.05;0;6;SJGS
93;0.06;0;6;SJGS
93;0.05;0;6;SJGS
93;8.13;0;1407;Undefined dataset.
93;8.0;0;1407;Undefined dataset.
93;8.05;0;1407;Undefined dataset.
93;8.06;0;1407;SJGS2
93;8.14;0;1407;SJGS2
93;8.08;0;1407;SJGS2
