new_tid;tid;lat_lon;time;day;poi;type;root_type;rating;weather;label
0;5184;40.9654169422336 -74.0628837642180;1056;Tuesday;my bed;Strip Club;Nightlife Spot;-1.0;Clear;185
0;5184;40.9653287788182 -74.0629239214116;1099;Tuesday;nanas :);American Restaurant;Food;-1.0;Clear;185
0;5184;40.9653550190346 -74.0628321335281;1191;Tuesday;The Bush Hot Tub :);Pool;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9653379500000 -74.0628079000000;1261;Tuesday;The Hang Out;Other Nightlife;Nightlife Spot;-1.0;Clouds;185
0;5184;40.9653558300157 -74.0628550805032;1320;Tuesday;The Bush Hideout;Speakeasy;Nightlife Spot;-1.0;Clouds;185
0;5184;40.9653219428021 -74.0628034498054;1387;Tuesday;YJCC;Music Venue;Arts & Entertainment;-1.0;Clouds;185
0;5184;40.9654169833333 -74.0629196833333;1428;Tuesday;Gardner Field;Park;Outdoors & Recreation;-1.0;Clouds;185
0;5184;40.9645718001334 -74.0664339065552;418;Wednesday;Garden State Parkway Park & Ride;Bus Line;Travel & Transport;-1.0;Clouds;185
0;5184;40.9653287788182 -74.0629239214116;518;Wednesday;nanas :);American Restaurant;Food;-1.0;Clear;185
0;5184;40.9653687333333 -74.0628322500000;622;Wednesday;Bacari Grill;American Restaurant;Food;8.8;Clear;185
0;5184;40.9653379500000 -74.0628079000000;744;Wednesday;The Hang Out;Other Nightlife;Nightlife Spot;-1.0;Clear;185
0;5184;40.9653219428021 -74.0628034498054;795;Wednesday;YJCC;Music Venue;Arts & Entertainment;-1.0;Clear;185
0;5184;40.9655087500000 -74.0628835833333;881;Wednesday;Four Seasons;Hotel;Travel & Transport;-1.0;Clear;185
0;5184;40.9653550190346 -74.0628321335281;934;Wednesday;The Bush Hot Tub :);Pool;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9654169833333 -74.0629196833333;1128;Wednesday;Gardner Field;Park;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9653687333333 -74.0628322500000;581;Friday;Bacari Grill;American Restaurant;Food;8.8;Clear;185
0;5184;40.9654169833333 -74.0629196833333;645;Friday;Gardner Field;Park;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9653558300157 -74.0628550805032;702;Friday;The Bush Hideout;Speakeasy;Nightlife Spot;-1.0;Clear;185
0;5184;40.9653287788182 -74.0629239214116;559;Saturday;nanas :);American Restaurant;Food;-1.0;Clear;185
0;5184;40.9653379500000 -74.0628079000000;601;Saturday;The Hang Out;Other Nightlife;Nightlife Spot;-1.0;Clear;185
0;5184;40.9655087500000 -74.0628835833333;712;Saturday;Four Seasons;Hotel;Travel & Transport;-1.0;Clear;185
0;5184;40.9653219428021 -74.0628034498054;765;Saturday;YJCC;Music Venue;Arts & Entertainment;-1.0;Clear;185
0;5184;40.9653687333333 -74.0628322500000;820;Saturday;Bacari Grill;American Restaurant;Food;8.8;Clear;185
0;5184;40.9653550190346 -74.0628321335281;862;Saturday;The Bush Hot Tub :);Pool;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9654169833333 -74.0629196833333;900;Saturday;Gardner Field;Park;Outdoors & Recreation;-1.0;Clear;185
0;5184;40.9652203988281 -74.0630558664160;916;Saturday;Crowne Plaza Paramus;Hotel;Travel & Transport;-1.0;Clear;185
0;5184;40.9483265346466 -74.0697677300490;979;Saturday;Chase Bank;Bank;Shop & Service;7.1;Clear;185
0;5184;40.9489233795369 -74.0697218377730;997;Saturday;US Post Office;Post Office;Professional & Other Places;-1.0;Clear;185
0;5184;40.9654169422336 -74.0628837642180;1078;Saturday;my bed;Strip Club;Nightlife Spot;-1.0;Clear;185
0;5184;40.9658102677880 -74.0676060318947;1366;Saturday;Parkway Elementary School;Elementary School;Professional & Other Places;-1.0;Clouds;185
0;5184;40.9653678786740 -74.0628034498054;50;Sunday;Starbucks;Coffee Shop;Food;7.4;Clouds;185
0;5184;40.9653582000000 -74.0628322333333;201;Sunday;Isabel's AMAZING Kitchen;Cuban Restaurant;Food;-1.0;Clear;185
0;5184;40.9645718001334 -74.0664339065552;229;Sunday;Garden State Parkway Park & Ride;Bus Line;Travel & Transport;-1.0;Clear;185
0;5184;40.9653310333333 -74.0627049000000;260;Sunday;BPIT Softball BBQ;Restaurant;Food;-1.0;Clear;185
0;5184;40.9666878653270 -74.0786362031987;582;Sunday;Dunkin Donuts;Donut Shop;Food;7.2;Clear;185
0;5184;40.9677860000000 -74.0736896833333;618;Sunday;King Pizza;Pizza Place;Food;6.8;Clear;185
0;5184;40.9653558300157 -74.0628550805032;684;Sunday;The Bush Hideout;Speakeasy;Nightlife Spot;-1.0;Clear;185
0;5184;40.9653379500000 -74.0628079000000;720;Sunday;The Hang Out;Other Nightlife;Nightlife Spot;-1.0;Clear;185
0;5184;40.9653687333333 -74.0628322500000;1094;Sunday;Bacari Grill;American Restaurant;Food;8.8;Clear;185
0;5184;40.9653550190346 -74.0628321335281;1117;Sunday;The Bush Hot Tub :);Pool;Outdoors & Recreation;-1.0;Clear;185
1;5185;40.9653287788182 -74.0629239214116;492;Monday;nanas :);American Restaurant;Food;-1.0;Clear;185
1;5185;40.9654169833333 -74.0629196833333;610;Monday;Gardner Field;Park;Outdoors & Recreation;-1.0;Clear;185
1;5185;40.9653379500000 -74.0628079000000;653;Monday;The Hang Out;Other Nightlife;Nightlife Spot;-1.0;Clear;185
1;5185;40.9652740963563 -74.0626887148712;709;Monday;Bergen County Vocational High School;High School;Professional & Other Places;-1.0;Clear;185
1;5185;40.9653550190346 -74.0628321335281;785;Monday;The Bush Hot Tub :);Pool;Outdoors & Recreation;-1.0;Clouds;185
